A1,A2,voto,valor
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CADENA VÉLEZ KARLA GABRIELA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CALLE VERZOZI HERMUY,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CAMBALA MONTECE CARLOS ALBERTO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CÁRDENAS ESPINOZA JUAN JORGE,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CARRIÓN CEVALLOS MARÍA JOSÉ,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CARVAJAL AGUIRRE MIGUEL ÁNGEL,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CERDA MIRANDA GABRIELA PAMELA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CHALÁ CRUZ JOSÉ FRANKLIN,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,COROZO AYOVÍ JORGE WILBER,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CUESTA RÍOS LIUBA ELISA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CUESTA SANTANA ESTHER ADELINA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,DOUMET CHEDRAUI MICHEL ANDRÉS,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,DURÁN AGUILAR LILIANA ELIZABETH,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ESPÍN REYES EUGENIA SOFÍA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ESPINOSA ANDRADE AUGUSTO XAVIER,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,FLOR GIL BRENDA AZUCENA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,GARCÍA GAIBOR CARMEN MERCEDES,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,GARCÍA POZO DIEGO OSWALDO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,GARZÓN RICAURTE WILLIAM ANTONIO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,GUEVARA VILLACRÉS VERÓNICA MARGARITA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,HOLGUÍN NARANJO MARCELA PRISCILA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,LITARDO CAICEDO CÉSAR ERNESTO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,LLORET VALDIVIESO JUAN CRISTÓBAL,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,MARÍN AGUIRRE ANA BELÉN,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,MELO GARZÓN ESTEBAN ANDRÉS,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,MENDOZA ARÉVALO DANIEL ISAAC,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,MUÑOZ LÓPEZ CHRISTIAN PABEL,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,NARANJO ALVARADO PRISCILA AMAPOLA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,OCHOA MORANTE MANUEL ALFREDO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ORELLANA ROMÁN ROSA GINA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,PALACIOS VELÁSQUEZ SONIA LUCRECIA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,PEÑA PACHECO XIMENA DEL ROCÍO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,PLAZA CASTILLO LENIN,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,POMA HERRERA YOFRE MARTÍN,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,PROAÑO CIFUENTES ROBERTH MAURICIO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,QUIJIJE DELGADO LUIS RAFAEL,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,QUIÑONEZ OCAMPO JULIO CÉSAR,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,RIVADENEIRA BUSTOS CARMEN MERCEDES,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SALAZAR CEDEÑO GUADALUPE DOLORES,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SALGADO ANDRADE SILVIA BETZABETH,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SAMANIEGO MAIGUA FRANKLIN OMAR,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SÁNCHEZ REYES MONTGOMERY,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ALEMÁN MARMOL MÓNICA ROCÍO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,SOLIZ CARRIÓN DORIS JOSEFINA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VALLE PINARGOTE BAIRON LEONARDO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VELIN CORTÉS JUAN PABLO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VERA FLORES WENDY VANESSA,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VERA RODRÍGUEZ CARLOS ALFREDO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VILLALVA MIRANDA LIRA DE LA PAZ,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,VITERI GUALINGA CARLOS ELOY,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,YAR ARAUJO JUAN CARLOS,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,YUNDA MACHADO JORGE HOMERO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ZAMBRANO ARTEAGA JOSE RICARDO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ZAMBRANO CASTRO NORALMA ELIZABETH,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,AZUERO RODAS ELISEO ALEXIS,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ZAMBRANO CHACHA ALBERTO ALEXANDER,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ZAMBRANO VALLE EDUARDO MAURICIO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ZAMBRANO VERA MARIANO,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,CANDELL SOTO JAIME ENRIQUE JIMMY,SI,1
ALBORNOZ VINTIMILLA CLAUDIO ESTEBAN,ALARCÓN GUILLÍN FREDY OSCAR,SI,1
SERRANO SALGADO JOSÉ RICARDO,ARIAS FERNÁNDEZ VERÓNICA ELIZABETH,SI,1
SERRANO SALGADO JOSÉ RICARDO,ARIAS RAMÍREZ ALBERTO JESÚS,SI,1
SERRANO SALGADO JOSÉ RICARDO,ARREGUI RUEDA MARCIA CECILIA,SI,1
SERRANO SALGADO JOSÉ RICARDO,ARTEAGA MUÑOZ KARINA CECILIA,SI,1
SERRANO SALGADO JOSÉ RICARDO,BENAVIDES ZAMBRANO ZOILA TERESA,SI,1
SERRANO SALGADO JOSÉ RICARDO,BERGMANN REYNA CARLOS ALBERTO,SI,1
SERRANO SALGADO JOSÉ RICARDO,BONILLA SALCEDO VIVIANA,SI,1
SERRANO SALGADO JOSÉ RICARDO,BUENDÍA HERDOÍZA MARÍA SOLEDAD,SI,1
SERRANO SALGADO JOSÉ RICARDO,BUSTAMANTE MONTEROS RUBÉN ALEJANDRO,SI,1
SERRANO SALGADO JOSÉ RICARDO,CABEZAS GUERRERO ELIZABETH ENRIQUETA,SI,1
SERRANO SALGADO JOSÉ RICARDO,CADENA VÉLEZ KARLA GABRIELA,SI,1
SERRANO SALGADO JOSÉ RICARDO,CALLE VERZOZI HERMUY,SI,1
SERRANO SALGADO JOSÉ RICARDO,CAMBALA MONTECE CARLOS ALBERTO,SI,1
SERRANO SALGADO JOSÉ RICARDO,CÁRDENAS ESPINOZA JUAN JORGE,SI,1
SERRANO SALGADO JOSÉ RICARDO,CARRIÓN CEVALLOS MARÍA JOSÉ,SI,1
SERRANO SALGADO JOSÉ RICARDO,CARVAJAL AGUIRRE MIGUEL ÁNGEL,SI,1
SERRANO SALGADO JOSÉ RICARDO,CEDEÑO ZAMBRANO JOHANNA ELIZABETH,SI,1
SERRANO SALGADO JOSÉ RICARDO,CERDA MIRANDA GABRIELA PAMELA,SI,1
SERRANO SALGADO JOSÉ RICARDO,CHALÁ CRUZ JOSÉ FRANKLIN,SI,1
SERRANO SALGADO JOSÉ RICARDO,CHÁVEZ BAJAÑA KHARLA DEL ROCÍO,SI,1
SERRANO SALGADO JOSÉ RICARDO,COROZO AYOVÍ JORGE WILBER,SI,1
SERRANO SALGADO JOSÉ RICARDO,CUESTA RÍOS LIUBA ELISA,SI,1
SERRANO SALGADO JOSÉ RICARDO,CUESTA SANTANA ESTHER ADELINA,SI,1
SERRANO SALGADO JOSÉ RICARDO,DOUMET CHEDRAUI MICHEL ANDRÉS,SI,1
SERRANO SALGADO JOSÉ RICARDO,DURÁN AGUILAR LILIANA ELIZABETH,SI,1
SERRANO SALGADO JOSÉ RICARDO,ESPÍN REYES EUGENIA SOFÍA,SI,1
SERRANO SALGADO JOSÉ RICARDO,ESPINOSA ANDRADE AUGUSTO XAVIER,SI,1
SERRANO SALGADO JOSÉ RICARDO,FLOR GIL BRENDA AZUCENA,SI,1
SERRANO SALGADO JOSÉ RICARDO,GARCÍA GAIBOR CARMEN MERCEDES,SI,1
SERRANO SALGADO JOSÉ RICARDO,GARCÍA POZO DIEGO OSWALDO,SI,1
SERRANO SALGADO JOSÉ RICARDO,GARZÓN RICAURTE WILLIAM ANTONIO,SI,1
SERRANO SALGADO JOSÉ RICARDO,GAVILÁNEZ CAMACHO FAFO HOLGUÍN,SI,1
SERRANO SALGADO JOSÉ RICARDO,GUEVARA VILLACRÉS VERÓNICA MARGARITA,SI,1
SERRANO SALGADO JOSÉ RICARDO,HOLGUÍN NARANJO MARCELA PRISCILA,SI,1
SERRANO SALGADO JOSÉ RICARDO,LITARDO CAICEDO CÉSAR ERNESTO,SI,1
SERRANO SALGADO JOSÉ RICARDO,LLORET VALDIVIESO JUAN CRISTÓBAL,SI,1
SERRANO SALGADO JOSÉ RICARDO,MARÍN AGUIRRE ANA BELÉN,SI,1
SERRANO SALGADO JOSÉ RICARDO,MELO GARZÓN ESTEBAN ANDRÉS,SI,1
SERRANO SALGADO JOSÉ RICARDO,MENDOZA ARÉVALO DANIEL ISAAC,SI,1
SERRANO SALGADO JOSÉ RICARDO,MUÑOZ LÓPEZ CHRISTIAN PABEL,SI,1
SERRANO SALGADO JOSÉ RICARDO,NARANJO ALVARADO PRISCILA AMAPOLA,SI,1
SERRANO SALGADO JOSÉ RICARDO,OCHOA MORANTE MANUEL ALFREDO,SI,1
SERRANO SALGADO JOSÉ RICARDO,ORELLANA ROMÁN ROSA GINA,SI,1
SERRANO SALGADO JOSÉ RICARDO,PALACIOS VELÁSQUEZ SONIA LUCRECIA,SI,1
SERRANO SALGADO JOSÉ RICARDO,PEÑA PACHECO XIMENA DEL ROCÍO,SI,1
SERRANO SALGADO JOSÉ RICARDO,PLAZA CASTILLO LENIN,SI,1
SERRANO SALGADO JOSÉ RICARDO,POMA HERRERA YOFRE MARTÍN,SI,1
SERRANO SALGADO JOSÉ RICARDO,PROAÑO CIFUENTES ROBERTH MAURICIO,SI,1
SERRANO SALGADO JOSÉ RICARDO,QUIJIJE DELGADO LUIS RAFAEL,SI,1
SERRANO SALGADO JOSÉ RICARDO,QUIÑONEZ OCAMPO JULIO CÉSAR,SI,1
SERRANO SALGADO JOSÉ RICARDO,RIVADENEIRA BURBANO GABRIELA ALEJANDRA,SI,1
SERRANO SALGADO JOSÉ RICARDO,RIVADENEIRA BUSTOS CARMEN MERCEDES,SI,1
SERRANO SALGADO JOSÉ RICARDO,SALAZAR CEDEÑO GUADALUPE DOLORES,SI,1
